fold,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.426764,0.799656,0.273038,0.892747,0.889362,0.951579,0.862448,0.923024,0.918009,0.870382,0.78693,0.785489,45.16
1,2,9.961e-05,0.320762,0.864203,0.1979,0.920935,0.918033,0.976062,0.885832,0.956014,0.952663,0.893385,0.843944,0.841866,43.86
1,3,9.911e-05,0.257089,0.894714,0.178459,0.929529,0.928547,0.979245,0.916094,0.942955,0.941343,0.91834,0.859366,0.859057,43.89
1,4,9.843e-05,0.224868,0.910443,0.154915,0.942592,0.942434,0.985146,0.940165,0.945017,0.944713,0.940492,0.885194,0.885184,43.9
1,5,9.755e-05,0.190807,0.924108,0.167613,0.931935,0.934263,0.986969,0.967675,0.89622,0.903081,0.965211,0.866091,0.863874,44.05
1,6,9.649e-05,0.166545,0.935196,0.187414,0.920935,0.925614,0.991061,0.984182,0.857732,0.873626,0.981904,0.848695,0.841877,44.13
1,7,9.524e-05,0.145175,0.945165,0.117065,0.953592,0.95453,0.993601,0.974553,0.932646,0.935314,0.973458,0.907985,0.907186,43.7
1,8,9.382e-05,0.133655,0.949291,0.097115,0.964936,0.965021,0.993857,0.967675,0.962199,0.96238,0.967519,0.929887,0.929873,43.77
1,9,9.222e-05,0.125366,0.952987,0.120363,0.952217,0.953651,0.994555,0.983494,0.920962,0.925566,0.982405,0.906212,0.904437,43.44
1,10,9.045e-05,0.106655,0.960378,0.093351,0.969062,0.969636,0.995492,0.988308,0.949828,0.951656,0.987848,0.93882,0.938124,43.96
1,11,8.853e-05,0.093822,0.965019,0.075616,0.976281,0.976133,0.996005,0.970426,0.982131,0.981907,0.970788,0.952626,0.952561,44.22
1,12,8.645e-05,0.090532,0.966137,0.099561,0.963905,0.964918,0.996382,0.993122,0.934708,0.938272,0.992701,0.9294,0.927812,43.88
1,13,8.423e-05,0.082584,0.968973,0.068997,0.977999,0.978261,0.996618,0.990371,0.965636,0.966443,0.990134,0.956292,0.955999,44.03
1,14,8.187e-05,0.066107,0.975161,0.061484,0.980062,0.980272,0.997082,0.991059,0.969072,0.969717,0.990864,0.960356,0.960124,43.82
1,15,7.939e-05,0.063389,0.977224,0.073234,0.976281,0.976634,0.997098,0.991747,0.960825,0.961975,0.991489,0.953018,0.952562,43.63
1,16,7.679e-05,0.060009,0.976536,0.082875,0.972499,0.973118,0.99858,0.995873,0.949141,0.95138,0.995674,0.946034,0.944999,43.79
1,17,7.409e-05,0.058548,0.978771,0.053967,0.979374,0.979675,0.998797,0.994498,0.964261,0.965287,0.99433,0.959188,0.958749,43.96
1,18,7.129e-05,0.053526,0.979373,0.139896,0.953936,0.955746,0.99805,0.995186,0.912715,0.919314,0.994757,0.91098,0.907875,43.91
1,19,6.841e-05,0.043174,0.985131,0.07695,0.976624,0.977027,0.997003,0.994498,0.958763,0.960159,0.994298,0.953859,0.953249,44.0
1,20,6.545e-05,0.043506,0.984272,0.088984,0.972499,0.973046,0.996953,0.993122,0.95189,0.953765,0.992832,0.945804,0.944999,43.64
1,21,6.243e-05,0.03986,0.985991,0.105722,0.971812,0.972391,0.996744,0.993122,0.950515,0.952507,0.992821,0.944482,0.943624,43.5
1,22,5.937e-05,0.033376,0.987967,0.08244,0.974562,0.975,0.997043,0.992435,0.956701,0.958167,0.99216,0.949731,0.949124,43.73
1,23,5.627e-05,0.033054,0.989343,0.107533,0.966999,0.967914,0.997263,0.995873,0.938144,0.941482,0.995624,0.935561,0.933999,43.64
1,24,5.314e-05,0.033837,0.987709,0.079738,0.971812,0.972428,0.998385,0.994498,0.949141,0.951316,0.99424,0.944597,0.943624,43.4
1,25,5e-05,0.032226,0.990202,0.094292,0.972155,0.9727,0.997639,0.992435,0.95189,0.953734,0.99212,0.945089,0.944312,44.07
1,26,4.686e-05,0.024729,0.991491,0.073897,0.976281,0.97665,0.998078,0.992435,0.960137,0.961359,0.992187,0.953059,0.952562,43.72
1,27,4.373e-05,0.023016,0.991921,0.081411,0.976624,0.977027,0.997962,0.994498,0.958763,0.960159,0.994298,0.953859,0.953249,43.88
2,1,9.99e-05,0.417326,0.807134,0.288869,0.86834,0.852749,0.959823,0.762724,0.973883,0.96687,0.8042,0.753641,0.73666,43.61
