fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.113946,0.95462,0.05257,0.979374,0.979689,0.99915,0.995186,0.963574,0.964667,0.995032,0.959229,0.958749,58.3
1,2,9.961e-05,0.088638,0.966824,0.047062,0.983499,0.983729,0.999487,0.997937,0.969072,0.96992,0.997877,0.967403,0.966999,56.6
1,3,9.911e-05,0.079744,0.971379,0.059216,0.977999,0.978276,0.998331,0.991059,0.964948,0.965818,0.990826,0.956325,0.955999,56.5
1,4,9.843e-05,0.072305,0.973442,0.031412,0.987625,0.987526,0.999565,0.980055,0.995189,0.995112,0.980366,0.975361,0.975249,56.57
1,5,9.755e-05,0.065375,0.975677,0.032239,0.989687,0.989747,0.99936,0.995873,0.983505,0.983696,0.995825,0.979449,0.979374,56.44
1,6,9.649e-05,0.067584,0.974903,0.0673,0.975593,0.976166,0.999429,1.0,0.951203,0.953443,1.0,0.952322,0.951187,56.71
1,7,9.524e-05,0.065198,0.975677,0.040414,0.985218,0.985249,0.998846,0.98762,0.982818,0.982888,0.987569,0.970448,0.970437,56.69
1,8,9.382e-05,0.053466,0.981006,0.034874,0.98625,0.986301,0.999312,0.990371,0.982131,0.982265,0.990298,0.972532,0.972499,56.16
1,9,9.222e-05,0.050588,0.980232,0.032764,0.986937,0.986977,0.999366,0.990371,0.983505,0.983607,0.990311,0.973897,0.973874,56.37
1,10,9.045e-05,0.047492,0.983068,0.034629,0.988656,0.988702,0.999339,0.993122,0.984192,0.984322,0.993065,0.977351,0.977312,56.77
1,11,8.853e-05,0.049874,0.98367,0.040055,0.98625,0.986367,0.999167,0.995186,0.97732,0.977703,0.995101,0.972655,0.972499,56.49
1,12,8.645e-05,0.041751,0.985905,0.032095,0.988656,0.988733,0.999409,0.995873,0.981443,0.981695,0.995816,0.977414,0.977312,56.54
1,13,8.423e-05,0.044934,0.984186,0.035008,0.989343,0.989438,0.99945,0.998624,0.980069,0.980419,0.998599,0.978856,0.978687,56.35
1,14,8.187e-05,0.041974,0.984701,0.030834,0.990375,0.990418,0.999492,0.995186,0.985567,0.985695,0.995142,0.980795,0.980749,56.13
2,1,9.99e-05,0.122935,0.95101,0.053858,0.982812,0.983062,0.999356,0.997937,0.967698,0.968625,0.997874,0.966066,0.965624,57.89
2,2,9.961e-05,0.083992,0.968629,0.034974,0.989,0.989026,0.999541,0.991747,0.986254,0.98632,0.991707,0.978014,0.977999,57.73
2,3,9.911e-05,0.077987,0.970864,0.055341,0.974562,0.975118,0.999543,0.997249,0.95189,0.953947,0.99712,0.950103,0.949124,58.34
2,4,9.843e-05,0.073867,0.97327,0.041485,0.983156,0.983316,0.999397,0.993122,0.973196,0.973702,0.992987,0.966504,0.966312,57.72
2,5,9.755e-05,0.069215,0.973184,0.030794,0.986937,0.986995,0.999552,0.991747,0.982131,0.982289,0.991672,0.973919,0.973874,58.72
2,6,9.649e-05,0.061151,0.977052,0.030182,0.990031,0.990065,0.999538,0.99381,0.986254,0.986348,0.993767,0.98009,0.980062,58.5
2,7,9.524e-05,0.0521,0.980404,0.037416,0.987281,0.987428,0.999702,0.999312,0.975258,0.975823,0.999296,0.974844,0.974562,58.23
2,8,9.382e-05,0.054307,0.979716,0.044717,0.981093,0.981299,0.999195,0.992435,0.969759,0.97041,0.992264,0.962434,0.962187,58.45
2,9,9.222e-05,0.050952,0.981865,0.086072,0.968374,0.969272,0.999048,0.997937,0.938832,0.942208,0.997809,0.938391,0.936749,57.75
2,10,9.045e-05,0.046882,0.982037,0.033227,0.989,0.989071,0.999558,0.995873,0.982131,0.982361,0.995819,0.978092,0.977999,57.73
2,11,8.853e-05,0.042342,0.984014,0.046855,0.981093,0.981425,0.999698,0.999312,0.962887,0.964167,0.999287,0.962826,0.962187,58.25
2,12,8.645e-05,0.041842,0.985991,0.034919,0.986937,0.987066,0.999489,0.997249,0.976632,0.977089,0.997193,0.974082,0.973874,57.96
2,13,8.423e-05,0.043125,0.985217,0.022383,0.991062,0.991114,0.999821,0.997249,0.98488,0.985054,0.997216,0.9822,0.982125,58.53
2,14,8.187e-05,0.041659,0.985561,0.043843,0.983843,0.984084,0.99971,0.999312,0.968385,0.969313,0.999291,0.96815,0.967687,58.2
2,15,7.939e-05,0.03819,0.987709,0.04184,0.986593,0.986748,0.999719,0.998624,0.97457,0.975151,0.998592,0.973469,0.973187,58.27
2,16,7.679e-05,0.03451,0.987022,0.042016,0.985218,0.985429,0.999863,1.0,0.970447,0.971276,1.0,0.970861,0.970437,58.41
2,17,7.409e-05,0.030199,0.989257,0.020762,0.992781,0.992821,0.999872,0.998624,0.986942,0.987084,0.998609,0.985629,0.985562,58.17
2,18,7.129e-05,0.032478,0.987881,0.026553,0.992094,0.992142,0.999787,0.998624,0.985567,0.985743,0.998607,0.984271,0.984187,57.86
2,19,6.841e-05,0.030071,0.989343,0.021292,0.992781,0.992821,0.999804,0.998624,0.986942,0.987084,0.998609,0.985629,0.985562,58.22
2,20,6.545e-05,0.031579,0.988311,0.039691,0.984875,0.985085,0.999672,0.999312,0.970447,0.971257,0.999292,0.970154,0.969749,58.14
2,21,6.243e-05,0.028701,0.990288,0.03757,0.985906,0.986088,0.999811,0.999312,0.972509,0.973208,0.999294,0.972161,0.971812,58.04
2,22,5.937e-05,0.025624,0.990718,0.023327,0.989687,0.989733,0.999817,0.994498,0.98488,0.985014,0.994448,0.97942,0.979374,58.13
2,23,5.627e-05,0.027852,0.990116,0.026907,0.989343,0.989402,0.99972,0.995186,0.983505,0.983685,0.995132,0.978754,0.978687,58.08
2,24,5.314e-05,0.02054,0.993296,0.028497,0.990031,0.990113,0.999867,0.998624,0.981443,0.981744,0.998601,0.980207,0.980062,58.43
2,25,5e-05,0.024215,0.992265,0.01838,0.992781,0.992776,0.9998,0.992435,0.993127,0.993118,0.992445,0.985562,0.985562,57.88
2,26,4.686e-05,0.018464,0.993382,0.02962,0.989343,0.989423,0.999806,0.997249,0.981443,0.98172,0.997207,0.978809,0.978687,57.97
