fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.124994,0.949979,0.055796,0.979374,0.97941,0.998178,0.981431,0.97732,0.977397,0.981366,0.958757,0.958749,59.24
1,2,9.961e-05,0.086952,0.966738,0.042296,0.98625,0.986329,0.999249,0.992435,0.980069,0.980299,0.992345,0.972574,0.972499,56.88
1,3,9.911e-05,0.077918,0.970606,0.043822,0.982812,0.982958,0.999126,0.991747,0.973883,0.974324,0.991603,0.965778,0.965624,57.46
1,4,9.843e-05,0.076361,0.969575,0.03564,0.989,0.989064,0.999273,0.995186,0.982818,0.983016,0.995129,0.978074,0.977999,57.38
1,5,9.755e-05,0.068162,0.974989,0.036416,0.987281,0.987359,0.999302,0.99381,0.980756,0.980991,0.993733,0.974645,0.974562,57.33
1,6,9.649e-05,0.065563,0.974817,0.044764,0.983156,0.983316,0.999161,0.993122,0.973196,0.973702,0.992987,0.966504,0.966312,56.94
1,7,9.524e-05,0.057395,0.979029,0.034962,0.988656,0.988741,0.999299,0.996561,0.980756,0.981043,0.996508,0.977434,0.977312,57.3
1,8,9.382e-05,0.06145,0.977911,0.02976,0.990375,0.990385,0.999467,0.991747,0.989003,0.989026,0.99173,0.980753,0.980749,57.2
1,9,9.222e-05,0.051087,0.98092,0.035217,0.985218,0.985379,0.999576,0.996561,0.973883,0.974445,0.996484,0.970687,0.970437,57.82
1,10,9.045e-05,0.049518,0.98281,0.042144,0.985218,0.985319,0.99902,0.992435,0.978007,0.978305,0.992329,0.970538,0.970437,58.14
1,11,8.853e-05,0.047165,0.982467,0.05342,0.981093,0.981413,0.999425,0.998624,0.963574,0.964784,0.998575,0.962779,0.962187,57.9
1,12,8.645e-05,0.047241,0.984014,0.051099,0.982468,0.982706,0.999195,0.996561,0.968385,0.969231,0.996464,0.96532,0.964937,57.38
1,13,8.423e-05,0.040406,0.984443,0.046094,0.984531,0.984741,0.999546,0.998624,0.970447,0.971237,0.998586,0.969447,0.969062,56.92
1,14,8.187e-05,0.03858,0.987194,0.025349,0.992094,0.992121,0.999642,0.995873,0.988316,0.988396,0.995845,0.984215,0.984187,57.47
1,15,7.939e-05,0.041043,0.985303,0.035618,0.988656,0.988726,0.999327,0.995186,0.982131,0.982349,0.995125,0.977395,0.977312,57.02
1,16,7.679e-05,0.035636,0.98685,0.044828,0.985562,0.985724,0.999265,0.997249,0.973883,0.974462,0.997185,0.97139,0.971124,56.86
1,17,7.409e-05,0.035304,0.988053,0.042289,0.986593,0.98673,0.999595,0.997249,0.975945,0.976431,0.997191,0.973408,0.973187,57.31
1,18,7.129e-05,0.036628,0.985819,0.026943,0.989687,0.989747,0.999666,0.995873,0.983505,0.983696,0.995825,0.979449,0.979374,57.17
1,19,6.841e-05,0.026646,0.99089,0.031056,0.986593,0.98673,0.999781,0.997249,0.975945,0.976431,0.997191,0.973408,0.973187,57.26
1,20,6.545e-05,0.031632,0.988569,0.035508,0.989,0.989086,0.999507,0.997249,0.980756,0.981055,0.997205,0.978133,0.977999,57.05
1,21,6.243e-05,0.025597,0.990976,0.038918,0.985906,0.986059,0.999677,0.997249,0.97457,0.975118,0.997187,0.972062,0.971812,57.61
1,22,5.937e-05,0.022705,0.99278,0.029769,0.988656,0.988718,0.999677,0.994498,0.982818,0.983005,0.994437,0.977379,0.977312,58.18
1,23,5.627e-05,0.024162,0.991749,0.022664,0.992094,0.99211,0.999757,0.994498,0.989691,0.989733,0.994475,0.984198,0.984187,57.38
1,24,5.314e-05,0.024721,0.991749,0.04247,0.984875,0.985024,0.999577,0.995186,0.97457,0.975067,0.995088,0.969956,0.969749,58.13
1,25,5e-05,0.019762,0.993124,0.023203,0.992437,0.992471,0.999786,0.997249,0.987629,0.987738,0.997224,0.98492,0.984875,58.55
1,26,4.686e-05,0.020724,0.991663,0.036571,0.989343,0.989409,0.999521,0.995873,0.982818,0.983028,0.995822,0.97877,0.978687,57.72
1,27,4.373e-05,0.020186,0.993124,0.034055,0.990031,0.990079,0.999459,0.995186,0.98488,0.985024,0.995139,0.980114,0.980062,58.16
1,28,4.063e-05,0.021284,0.993124,0.027361,0.991062,0.991102,0.999718,0.995873,0.986254,0.986376,0.995836,0.98217,0.982124,58.43
1,29,3.757e-05,0.016283,0.994327,0.029358,0.990375,0.990437,0.999694,0.997249,0.983505,0.983718,0.997213,0.980842,0.980749,58.44
1,30,3.455e-05,0.017047,0.993124,0.026937,0.990718,0.990763,0.999731,0.995873,0.985567,0.985705,0.995833,0.981489,0.981437,57.72
1,31,3.159e-05,0.014698,0.994757,0.023197,0.992094,0.992131,0.999761,0.997249,0.986942,0.987066,0.997222,0.984239,0.984187,58.14
1,32,2.871e-05,0.016343,0.994413,0.027724,0.990718,0.990776,0.999784,0.997249,0.984192,0.984386,0.997214,0.981521,0.981437,58.07
1,33,2.591e-05,0.012278,0.995187,0.030669,0.99175,0.991792,0.999744,0.997249,0.986254,0.986395,0.99722,0.983559,0.9835,58.29
1,34,2.321e-05,0.011693,0.996304,0.028258,0.990375,0.990437,0.999829,0.997249,0.983505,0.983718,0.997213,0.980842,0.980749,58.4
1,35,2.061e-05,0.013004,0.995703,0.026659,0.990718,0.990763,0.999799,0.995873,0.985567,0.985705,0.995833,0.981489,0.981437,58.04
1,36,1.813e-05,0.012053,0.996046,0.041745,0.985562,0.985685,0.999637,0.994498,0.976632,0.977027,0.994402,0.971279,0.971124,57.7
1,37,1.577e-05,0.011357,0.996046,0.037084,0.987625,0.987738,0.999786,0.997249,0.978007,0.978408,0.997197,0.97543,0.975249,58.14
