fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.119358,0.951354,0.048202,0.980749,0.980939,0.998989,0.991059,0.970447,0.971024,0.990877,0.961704,0.961499,57.64
1,2,9.961e-05,0.086291,0.967426,0.035042,0.985218,0.985369,0.999493,0.995873,0.97457,0.975084,0.995787,0.970657,0.970437,56.06
1,3,9.911e-05,0.077121,0.969746,0.064494,0.969749,0.97043,0.998921,0.993122,0.946392,0.948752,0.99279,0.940527,0.939499,56.32
1,4,9.843e-05,0.076282,0.971036,0.030493,0.990375,0.990391,0.999485,0.992435,0.988316,0.988356,0.992409,0.980758,0.980749,56.03
1,5,9.755e-05,0.063096,0.976364,0.02846,0.99175,0.991775,0.99962,0.995186,0.988316,0.988388,0.995156,0.983523,0.9835,55.74
1,6,9.649e-05,0.065358,0.975075,0.04391,0.981437,0.981682,0.999389,0.995186,0.967698,0.968541,0.995053,0.963238,0.962874,55.71
1,7,9.524e-05,0.060106,0.977654,0.031654,0.985218,0.985319,0.99954,0.992435,0.978007,0.978305,0.992329,0.970538,0.970437,56.0
1,8,9.382e-05,0.057023,0.97963,0.039388,0.985218,0.985369,0.999461,0.995873,0.97457,0.975084,0.995787,0.970657,0.970437,55.99
1,9,9.222e-05,0.055257,0.97963,0.034149,0.988656,0.988664,0.999316,0.989684,0.987629,0.987646,0.989669,0.977314,0.977312,56.09
1,10,9.045e-05,0.043368,0.9841,0.038398,0.984875,0.984973,0.999366,0.991747,0.978007,0.97829,0.991638,0.969841,0.969749,56.06
1,11,8.853e-05,0.044857,0.984443,0.026824,0.990718,0.990718,0.999553,0.991059,0.990378,0.990378,0.991059,0.981437,0.981437,55.88
1,12,8.645e-05,0.045319,0.983928,0.02842,0.987281,0.987385,0.999669,0.995873,0.978694,0.97904,0.995804,0.974706,0.974562,55.94
1,13,8.423e-05,0.049575,0.981349,0.024387,0.99175,0.991781,0.999654,0.995873,0.987629,0.987722,0.995842,0.983533,0.9835,56.81
1,14,8.187e-05,0.045285,0.983756,0.032071,0.986937,0.986977,0.999423,0.990371,0.983505,0.983607,0.990311,0.973897,0.973874,56.12
