fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.121064,0.951354,0.039673,0.983843,0.983975,0.999324,0.992435,0.975258,0.975659,0.992308,0.96783,0.967687,56.94
1,2,9.961e-05,0.089721,0.964418,0.051164,0.979374,0.979522,0.998747,0.986933,0.971821,0.972222,0.986741,0.958859,0.958749,54.99
1,3,9.911e-05,0.081225,0.968113,0.050712,0.980406,0.980539,0.998576,0.98762,0.973196,0.973559,0.987448,0.960912,0.960811,54.98
1,4,9.843e-05,0.067545,0.974645,0.053849,0.977656,0.977988,0.998981,0.993122,0.962199,0.963309,0.992908,0.955769,0.955312,55.4
1,5,9.755e-05,0.066697,0.974216,0.031693,0.987625,0.987697,0.999433,0.99381,0.981443,0.981658,0.993737,0.975324,0.975249,55.16
1,6,9.649e-05,0.061805,0.976622,0.054636,0.979031,0.979315,0.998686,0.993122,0.964948,0.965886,0.992928,0.958442,0.958062,55.59
1,7,9.524e-05,0.057512,0.978943,0.053261,0.980406,0.980698,0.998818,0.995873,0.964948,0.965977,0.995745,0.961272,0.960812,55.24
1,8,9.382e-05,0.058263,0.978427,0.041977,0.984531,0.984709,0.999217,0.996561,0.972509,0.973136,0.996479,0.969342,0.969062,55.41
1,9,9.222e-05,0.053224,0.981435,0.030856,0.989343,0.989387,0.999409,0.99381,0.98488,0.985003,0.993759,0.978726,0.978687,55.46
1,10,9.045e-05,0.054842,0.979802,0.036852,0.985562,0.985646,0.999221,0.991747,0.979381,0.97962,0.991649,0.971199,0.971124,54.87
1,11,8.853e-05,0.045144,0.983756,0.037814,0.984531,0.984678,0.999494,0.994498,0.97457,0.975051,0.99439,0.969254,0.969062,54.98
1,12,8.645e-05,0.041551,0.985045,0.038986,0.986593,0.986703,0.999393,0.995186,0.978007,0.978364,0.995105,0.973331,0.973187,54.87
1,13,8.423e-05,0.038887,0.987022,0.065332,0.981437,0.98172,0.998636,0.997249,0.965636,0.966667,0.997161,0.963356,0.962874,55.03
1,14,8.187e-05,0.045905,0.984358,0.03227,0.989687,0.989726,0.999144,0.99381,0.985567,0.985675,0.993763,0.979408,0.979374,55.17
1,15,7.939e-05,0.04216,0.985561,0.042954,0.984875,0.985034,0.999267,0.995873,0.973883,0.974428,0.995784,0.969984,0.969749,55.07
1,16,7.679e-05,0.032399,0.988569,0.033776,0.988656,0.988687,0.99939,0.991747,0.985567,0.985646,0.991701,0.977331,0.977312,55.27
1,17,7.409e-05,0.037073,0.988053,0.049005,0.982468,0.982671,0.999229,0.994498,0.970447,0.971122,0.994366,0.965216,0.964937,54.4
1,18,7.129e-05,0.030426,0.988913,0.057342,0.979374,0.97973,0.999462,0.997249,0.961512,0.962815,0.997149,0.959362,0.958749,54.67
1,19,6.841e-05,0.028591,0.9896,0.027628,0.989,0.989011,0.999477,0.990371,0.987629,0.987654,0.990351,0.978003,0.977999,54.97
1,20,6.545e-05,0.02561,0.989686,0.029954,0.990375,0.990411,0.999501,0.994498,0.986254,0.986357,0.994456,0.980783,0.980749,55.13
1,21,6.243e-05,0.03041,0.989944,0.037535,0.988312,0.988428,0.999692,0.998624,0.978007,0.978437,0.998596,0.976832,0.976624,54.95
1,22,5.937e-05,0.024489,0.990976,0.040879,0.988312,0.988428,0.999692,0.998624,0.978007,0.978437,0.998596,0.976832,0.976624,54.74
1,23,5.627e-05,0.024386,0.99046,0.024432,0.991062,0.991096,0.999591,0.995186,0.986942,0.98704,0.995149,0.982158,0.982124,55.05
