fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.118742,0.955393,0.05754,0.975937,0.976367,0.998945,0.994498,0.957388,0.958886,0.99429,0.952531,0.951874,59.74
1,2,9.961e-05,0.085549,0.967856,0.042041,0.985218,0.985309,0.99915,0.991747,0.978694,0.978955,0.991643,0.97052,0.970437,58.22
1,3,9.911e-05,0.083107,0.968715,0.031517,0.988656,0.988609,0.999485,0.984869,0.99244,0.992377,0.984993,0.97734,0.977312,58.0
1,4,9.843e-05,0.073569,0.973012,0.043505,0.985906,0.986031,0.999066,0.995186,0.976632,0.977043,0.995098,0.971979,0.971812,58.05
1,5,9.755e-05,0.067138,0.974731,0.035872,0.985906,0.986021,0.999484,0.994498,0.97732,0.977688,0.994406,0.971955,0.971812,58.23
1,6,9.649e-05,0.065408,0.975677,0.029382,0.990375,0.990391,0.999488,0.992435,0.988316,0.988356,0.992409,0.980758,0.980749,58.01
1,7,9.524e-05,0.052146,0.982209,0.066996,0.974562,0.975118,0.999117,0.997249,0.95189,0.953947,0.99712,0.950103,0.949124,58.97
1,8,9.382e-05,0.068812,0.975333,0.040964,0.98625,0.986422,0.999549,0.999312,0.973196,0.973861,0.999294,0.972831,0.972499,58.45
1,9,9.222e-05,0.055817,0.980146,0.043416,0.982812,0.983005,0.999331,0.994498,0.971134,0.971774,0.99437,0.965888,0.965624,58.33
1,10,9.045e-05,0.049023,0.981349,0.033674,0.987625,0.987705,0.999544,0.994498,0.980756,0.981004,0.994425,0.975342,0.975249,58.65
1,11,8.853e-05,0.047724,0.98281,0.028041,0.988656,0.988702,0.999487,0.993122,0.984192,0.984322,0.993065,0.977351,0.977312,58.43
1,12,8.645e-05,0.048055,0.981693,0.032103,0.988312,0.988324,0.999355,0.989684,0.986942,0.986968,0.989662,0.976628,0.976624,58.75
1,13,8.423e-05,0.044453,0.984186,0.041579,0.983499,0.983718,0.999553,0.997249,0.969759,0.970549,0.997173,0.967365,0.966999,58.25
1,14,8.187e-05,0.036239,0.986678,0.029473,0.989,0.989086,0.999576,0.997249,0.980756,0.981055,0.997205,0.978133,0.977999,58.21
1,15,7.939e-05,0.037598,0.985905,0.028607,0.989,0.989086,0.999766,0.997249,0.980756,0.981055,0.997205,0.978133,0.977999,58.93
1,16,7.679e-05,0.038912,0.98642,0.048574,0.985562,0.985763,0.99963,1.0,0.971134,0.971925,1.0,0.971529,0.971124,58.29
1,17,7.409e-05,0.031663,0.987624,0.032338,0.988312,0.98842,0.999703,0.997937,0.978694,0.979082,0.997898,0.976805,0.976624,58.31
1,18,7.129e-05,0.031506,0.989085,0.031038,0.988312,0.988396,0.999638,0.995873,0.980756,0.98103,0.995813,0.976736,0.976624,57.91
1,19,6.841e-05,0.029089,0.9896,0.054869,0.980749,0.98103,0.999403,0.995873,0.965636,0.966622,0.995748,0.961939,0.961499,57.86
1,20,6.545e-05,0.02778,0.989343,0.049668,0.984875,0.985064,0.999412,0.997937,0.971821,0.97252,0.997883,0.97008,0.969749,58.13
1,21,6.243e-05,0.030902,0.988483,0.040525,0.985562,0.985675,0.999216,0.99381,0.97732,0.977673,0.993711,0.971256,0.971124,58.05
1,22,5.937e-05,0.026139,0.991749,0.047881,0.980406,0.980632,0.999267,0.992435,0.968385,0.969107,0.992254,0.96109,0.960812,58.29
1,23,5.627e-05,0.026967,0.990374,0.038272,0.985906,0.986012,0.999515,0.99381,0.978007,0.978334,0.993715,0.971933,0.971812,57.97
1,24,5.314e-05,0.021178,0.992609,0.068225,0.978687,0.97904,0.99915,0.995873,0.961512,0.962766,0.99573,0.95794,0.957374,58.25
1,25,5e-05,0.022736,0.991663,0.030821,0.989687,0.989726,0.999531,0.99381,0.985567,0.985675,0.993763,0.979408,0.979374,58.22
2,1,9.99e-05,0.121795,0.953073,0.056212,0.977312,0.976955,0.998919,0.962173,0.99244,0.992199,0.963309,0.95506,0.954623,58.68
2,2,9.961e-05,0.086002,0.966566,0.042064,0.985906,0.986078,0.999418,0.998624,0.973196,0.973843,0.99859,0.972126,0.971812,59.27
2,3,9.911e-05,0.07826,0.97095,0.064539,0.974218,0.974773,0.999336,0.996561,0.95189,0.953917,0.996403,0.949385,0.948437,59.14
2,4,9.843e-05,0.069935,0.973012,0.038973,0.984875,0.985034,0.999445,0.995873,0.973883,0.974428,0.995784,0.969984,0.969749,58.89
2,5,9.755e-05,0.07259,0.973528,0.07672,0.970437,0.971141,0.998654,0.995186,0.945704,0.948231,0.994939,0.942029,0.940874,59.52
2,6,9.649e-05,0.059076,0.976622,0.027503,0.990031,0.990031,0.999517,0.990371,0.989691,0.989691,0.990371,0.980062,0.980062,58.93
2,7,9.524e-05,0.051802,0.980662,0.037819,0.984187,0.984257,0.999228,0.988996,0.979381,0.979564,0.988897,0.968419,0.968374,58.78
2,8,9.382e-05,0.057146,0.978599,0.036358,0.985218,0.985399,0.999802,0.997937,0.972509,0.973172,0.997884,0.970751,0.970437,58.32
2,9,9.222e-05,0.049791,0.983584,0.037479,0.985218,0.985409,0.99969,0.998624,0.971821,0.972539,0.998588,0.970786,0.970437,58.33
2,10,9.045e-05,0.052767,0.981263,0.059873,0.977999,0.978393,0.999269,0.996561,0.95945,0.960875,0.996431,0.956659,0.955999,58.29
2,11,8.853e-05,0.052766,0.982295,0.051612,0.982468,0.982694,0.999494,0.995873,0.969072,0.969859,0.995763,0.965284,0.964937,58.3
2,12,8.645e-05,0.046119,0.985475,0.035136,0.987968,0.988059,0.999447,0.995873,0.980069,0.980366,0.99581,0.976059,0.975937,58.59
2,13,8.423e-05,0.042467,0.984787,0.030414,0.988656,0.988749,0.999752,0.997249,0.980069,0.980392,0.997203,0.977456,0.977312,58.44
2,14,8.187e-05,0.036557,0.987538,0.032952,0.988312,0.988428,0.999801,0.998624,0.978007,0.978437,0.998596,0.976832,0.976624,58.34
