fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.072323,0.972497,0.015863,0.996219,0.996219,0.999861,0.996561,0.995876,0.995876,0.996561,0.992437,0.992437,24.79
1,2,9.961e-05,0.054109,0.98006,0.017158,0.995187,0.995199,0.99983,0.997937,0.99244,0.992476,0.997927,0.99039,0.990375,23.3
1,3,9.911e-05,0.047831,0.984272,0.016712,0.995531,0.995543,0.999839,0.998624,0.99244,0.992481,0.998617,0.991081,0.991062,23.08
1,4,9.843e-05,0.046589,0.983068,0.015123,0.995187,0.995199,0.999889,0.997937,0.99244,0.992476,0.997927,0.99039,0.990375,23.11
1,5,9.755e-05,0.041572,0.984443,0.015114,0.995875,0.995882,0.999839,0.997937,0.993814,0.993836,0.99793,0.991758,0.99175,22.98
1,6,9.649e-05,0.043439,0.984787,0.019271,0.992781,0.992786,0.99977,0.99381,0.991753,0.991764,0.993802,0.985564,0.985562,23.34
1,7,9.524e-05,0.043425,0.985131,0.014099,0.994844,0.994844,0.999855,0.995186,0.994502,0.994502,0.995186,0.989687,0.989687,23.24
1,8,9.382e-05,0.042172,0.984873,0.0161,0.994844,0.994854,0.99985,0.997249,0.99244,0.992471,0.997238,0.989699,0.989687,23.11
1,9,9.222e-05,0.040499,0.986506,0.015985,0.996219,0.996226,0.999843,0.998624,0.993814,0.99384,0.998619,0.992449,0.992437,23.22
1,10,9.045e-05,0.041561,0.984787,0.016939,0.995187,0.995196,0.999786,0.997249,0.993127,0.993151,0.997239,0.990383,0.990375,23.07
1,11,8.853e-05,0.035093,0.987366,0.016222,0.994844,0.994854,0.999834,0.997249,0.99244,0.992471,0.997238,0.989699,0.989687,23.23
1,12,8.645e-05,0.040967,0.984615,0.013758,0.995875,0.995882,0.999873,0.997937,0.993814,0.993836,0.99793,0.991758,0.99175,23.07
1,13,8.423e-05,0.042879,0.986162,0.015766,0.995531,0.995543,0.999852,0.998624,0.99244,0.992481,0.998617,0.991081,0.991062,22.95
1,14,8.187e-05,0.039117,0.985733,0.016406,0.995187,0.995202,0.999859,0.998624,0.991753,0.991803,0.998616,0.990398,0.990375,23.11
2,1,9.99e-05,0.070532,0.975333,0.024354,0.993469,0.993495,0.9998,0.997937,0.989003,0.989093,0.99792,0.986977,0.986937,23.81
2,2,9.961e-05,0.058642,0.979115,0.015926,0.993812,0.993831,0.999903,0.997249,0.990378,0.990437,0.997232,0.987648,0.987625,23.78
2,3,9.911e-05,0.047159,0.983498,0.010349,0.996906,0.9969,0.999945,0.995186,0.998625,0.99862,0.995205,0.993818,0.993812,23.82
2,4,9.843e-05,0.051578,0.98092,0.010666,0.997594,0.997592,0.999941,0.997249,0.997938,0.997935,0.997253,0.995188,0.995187,23.76
2,5,9.755e-05,0.047945,0.9841,0.013728,0.996219,0.996219,0.999873,0.996561,0.995876,0.995876,0.996561,0.992437,0.992437,23.66
2,6,9.649e-05,0.041191,0.984615,0.012236,0.995875,0.995871,0.999926,0.995186,0.996564,0.996556,0.995196,0.991751,0.99175,23.83
2,7,9.524e-05,0.04323,0.983842,0.015923,0.993812,0.993836,0.999928,0.997937,0.989691,0.989768,0.997921,0.987658,0.987625,23.74
2,8,9.382e-05,0.042175,0.984272,0.011723,0.996562,0.996566,0.999951,0.997937,0.995189,0.995199,0.997932,0.993129,0.993125,23.89
2,9,9.222e-05,0.036365,0.986678,0.00988,0.996562,0.996561,0.999954,0.996561,0.996564,0.996561,0.996564,0.993125,0.993125,23.86
2,10,9.045e-05,0.042482,0.984443,0.010502,0.996562,0.996564,0.999937,0.997249,0.995876,0.995879,0.997247,0.993126,0.993125,23.8
2,11,8.853e-05,0.040295,0.985991,0.010292,0.996562,0.996561,0.999947,0.996561,0.996564,0.996561,0.996564,0.993125,0.993125,23.81
2,12,8.645e-05,0.037769,0.987022,0.010861,0.996906,0.996908,0.999948,0.997937,0.995876,0.995882,0.997934,0.993814,0.993812,23.72
2,13,8.423e-05,0.036188,0.987194,0.012678,0.996562,0.996568,0.999925,0.998624,0.994502,0.994521,0.99862,0.993133,0.993125,23.73
2,14,8.187e-05,0.036219,0.986936,0.015183,0.994156,0.994184,0.999947,0.999312,0.989003,0.989108,0.999306,0.988365,0.988312,23.82
2,15,7.939e-05,0.041953,0.984014,0.013645,0.995875,0.995885,0.999907,0.998624,0.993127,0.99316,0.998618,0.991765,0.99175,23.53
2,16,7.679e-05,0.034365,0.987795,0.013004,0.995875,0.995885,0.999953,0.998624,0.993127,0.99316,0.998618,0.991765,0.99175,23.69
2,17,7.409e-05,0.038177,0.985561,0.008527,0.997594,0.997595,0.999967,0.998624,0.996564,0.996568,0.998623,0.995189,0.995187,23.62
2,18,7.129e-05,0.036947,0.987108,0.010088,0.99725,0.997251,0.999951,0.997937,0.996564,0.996566,0.997935,0.994501,0.9945,23.85
2,19,6.841e-05,0.037473,0.986592,0.010314,0.995875,0.995882,0.999934,0.997937,0.993814,0.993836,0.99793,0.991758,0.99175,23.66
2,20,6.545e-05,0.031984,0.988225,0.012658,0.995531,0.99554,0.99992,0.997937,0.993127,0.993155,0.997928,0.991074,0.991062,23.69
