fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.539274,0.734852,0.418086,0.810932,0.801013,0.884924,0.761348,0.860481,0.845038,0.782989,0.624921,0.62185,30.45
1,2,9.961e-05,0.458541,0.78324,0.360353,0.83362,0.824,0.914941,0.77923,0.887973,0.874228,0.800992,0.671199,0.667227,29.62
1,3,9.911e-05,0.402844,0.819682,0.325629,0.862152,0.861581,0.932848,0.858322,0.865979,0.864865,0.859482,0.724324,0.724303,29.56
1,4,9.843e-05,0.36333,0.843146,0.299713,0.873496,0.871239,0.942042,0.856259,0.890722,0.886752,0.86113,0.747431,0.746989,29.72
1,5,9.755e-05,0.333928,0.856468,0.284575,0.886215,0.887069,0.950761,0.894085,0.878351,0.880162,0.892458,0.772528,0.772432,29.64
1,6,9.649e-05,0.31186,0.867813,0.25092,0.902372,0.901662,0.959971,0.895461,0.909278,0.90795,0.896949,0.804819,0.804743,29.59
1,7,9.524e-05,0.286896,0.881392,0.237324,0.90581,0.905452,0.963922,0.902338,0.909278,0.908587,0.903072,0.811638,0.811619,29.35
1,8,9.382e-05,0.280731,0.882768,0.217124,0.914404,0.913751,0.969627,0.907153,0.921649,0.920447,0.908537,0.828893,0.828806,29.56
1,9,9.222e-05,0.258029,0.895746,0.203683,0.925748,0.923404,0.973246,0.895461,0.956014,0.953148,0.901491,0.853055,0.851492,29.63
1,10,9.045e-05,0.251304,0.899871,0.192701,0.928498,0.927677,0.976764,0.917469,0.939519,0.938115,0.919301,0.857202,0.856994,29.66
1,11,8.853e-05,0.228147,0.903481,0.188324,0.931248,0.930119,0.977586,0.915406,0.947079,0.945312,0.918055,0.862926,0.862494,29.56
1,12,8.645e-05,0.219384,0.911818,0.19802,0.923685,0.924848,0.977869,0.939477,0.907904,0.910667,0.937544,0.847796,0.847372,29.64
1,13,8.423e-05,0.211015,0.91431,0.170614,0.933998,0.933884,0.981506,0.9326,0.935395,0.935172,0.932831,0.867999,0.867996,29.64
1,14,8.187e-05,0.19841,0.920155,0.167332,0.934685,0.934392,0.981719,0.930536,0.938832,0.93828,0.931152,0.8694,0.869371,29.62
1,15,7.939e-05,0.190505,0.925913,0.172901,0.932279,0.933288,0.982824,0.94773,0.916838,0.91928,0.946099,0.864974,0.86456,29.65
1,16,7.679e-05,0.178433,0.932789,0.149641,0.947061,0.946639,0.985076,0.939477,0.954639,0.953911,0.94042,0.894223,0.894121,29.65
1,17,7.409e-05,0.165108,0.934852,0.148672,0.942592,0.943023,0.986564,0.950481,0.934708,0.93568,0.949721,0.885295,0.885185,29.63
1,18,7.129e-05,0.156133,0.938204,0.144268,0.943623,0.944256,0.987052,0.955296,0.931959,0.933468,0.954258,0.88749,0.887247,29.61
1,19,6.841e-05,0.153102,0.94147,0.136503,0.953592,0.954035,0.988594,0.963549,0.943643,0.944707,0.962833,0.907366,0.907185,29.61
1,20,6.545e-05,0.152242,0.940954,0.135571,0.952905,0.952742,0.988448,0.949794,0.956014,0.955709,0.950137,0.905827,0.905809,29.65
1,21,6.243e-05,0.138031,0.94697,0.146399,0.94878,0.949645,0.988677,0.9663,0.931271,0.933555,0.9651,0.898113,0.897561,29.72
1,22,5.937e-05,0.135384,0.946283,0.13372,0.950842,0.951211,0.989083,0.958735,0.942955,0.943805,0.958101,0.901798,0.901685,29.64
