fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.488331,0.763386,0.378091,0.831213,0.834178,0.91287,0.849381,0.813058,0.819509,0.843795,0.662871,0.662431,18.07
1,2,9.961e-05,0.409466,0.815299,0.330594,0.856652,0.852598,0.934142,0.829436,0.883849,0.877091,0.838331,0.714353,0.713298,17.54
1,3,9.911e-05,0.372891,0.830855,0.318232,0.858371,0.860999,0.942331,0.877579,0.839175,0.845033,0.872766,0.717277,0.716745,17.61
1,4,9.843e-05,0.343602,0.85174,0.297102,0.872809,0.871795,0.945049,0.865199,0.880412,0.878492,0.867299,0.745701,0.745616,17.61
1,5,9.755e-05,0.326501,0.85853,0.264161,0.892059,0.887616,0.955615,0.85282,0.931271,0.925373,0.863607,0.786532,0.784112,17.66
1,6,9.649e-05,0.301709,0.871079,0.261738,0.895497,0.896739,0.959273,0.90784,0.883162,0.885906,0.905567,0.791238,0.790995,17.67
1,7,9.524e-05,0.300937,0.872626,0.24315,0.904435,0.904533,0.963018,0.905777,0.903093,0.903292,0.905582,0.808872,0.808869,17.69
1,8,9.382e-05,0.284636,0.879072,0.236748,0.904778,0.905104,0.96506,0.908528,0.901031,0.901706,0.907895,0.80958,0.809557,17.62
1,9,9.222e-05,0.267849,0.888784,0.215194,0.91131,0.912065,0.971748,0.92022,0.902405,0.904054,0.918824,0.822752,0.822621,17.67
1,10,9.045e-05,0.264888,0.886807,0.204275,0.916466,0.915596,0.973301,0.906465,0.92646,0.924912,0.908356,0.833097,0.832931,17.59
1,11,8.853e-05,0.247104,0.898668,0.199071,0.919216,0.918993,0.97565,0.916781,0.921649,0.921216,0.917237,0.838442,0.838432,17.56
1,12,8.645e-05,0.245313,0.901418,0.196049,0.918872,0.918565,0.97618,0.915406,0.922337,0.921745,0.916041,0.837764,0.837745,17.78
1,13,8.423e-05,0.23099,0.907778,0.183057,0.927466,0.927266,0.978785,0.925034,0.929897,0.929509,0.925445,0.854943,0.854933,17.59
1,14,8.187e-05,0.227761,0.905716,0.1766,0.927466,0.926558,0.980265,0.915406,0.939519,0.937984,0.91745,0.855179,0.854932,17.63
1,15,7.939e-05,0.21755,0.912935,0.170653,0.930904,0.929941,0.981341,0.917469,0.94433,0.942756,0.919679,0.862117,0.861807,17.45
1,16,7.679e-05,0.212119,0.915685,0.181066,0.928842,0.93028,0.982232,0.949794,0.907904,0.911551,0.947633,0.85844,0.857685,17.66
1,17,7.409e-05,0.20289,0.919897,0.181856,0.926779,0.927625,0.981128,0.93879,0.914777,0.916723,0.937324,0.853806,0.853559,17.7
1,18,7.129e-05,0.201807,0.920413,0.162162,0.935029,0.93485,0.9835,0.9326,0.937457,0.937111,0.932969,0.870068,0.870058,17.58
1,19,6.841e-05,0.199268,0.918951,0.165405,0.933998,0.934649,0.983962,0.944292,0.923711,0.925202,0.943158,0.868181,0.867997,17.74
1,20,6.545e-05,0.192026,0.92196,0.159091,0.939498,0.940258,0.985236,0.952545,0.92646,0.928284,0.951306,0.879297,0.878997,17.62
1,21,6.243e-05,0.193439,0.921874,0.151917,0.943623,0.943174,0.985275,0.936039,0.951203,0.950419,0.937035,0.887347,0.887246,17.67
1,22,5.937e-05,0.18291,0.928578,0.145276,0.944655,0.944731,0.986807,0.946355,0.942955,0.943112,0.946207,0.889314,0.889309,17.55
1,23,5.627e-05,0.182078,0.927374,0.154402,0.940529,0.941574,0.987519,0.958735,0.922337,0.925017,0.957204,0.881646,0.88106,17.64
1,24,5.314e-05,0.179934,0.926859,0.153048,0.940873,0.94197,0.987125,0.96011,0.921649,0.924503,0.958542,0.882402,0.881748,17.48
1,25,5e-05,0.174031,0.930382,0.159555,0.936404,0.937394,0.986418,0.952545,0.920275,0.922718,0.950994,0.873266,0.87281,17.68
1,26,4.686e-05,0.166835,0.933906,0.146487,0.941904,0.942847,0.988256,0.958735,0.925086,0.927478,0.957326,0.884312,0.88381,17.69
1,27,4.373e-05,0.169304,0.932359,0.137021,0.945686,0.945853,0.988572,0.949106,0.942268,0.942623,0.948789,0.891393,0.891372,17.73
1,28,4.063e-05,0.160671,0.933734,0.132026,0.947748,0.94791,0.989254,0.951169,0.94433,0.944672,0.950865,0.895518,0.895497,17.66
1,29,3.757e-05,0.156519,0.937602,0.133111,0.948092,0.948482,0.989449,0.955983,0.940206,0.941097,0.955307,0.896297,0.896185,17.86
1,30,3.455e-05,0.148756,0.942759,0.135017,0.946717,0.946936,0.988924,0.951169,0.942268,0.94274,0.950763,0.89347,0.893434,17.59
1,31,3.159e-05,0.158385,0.935883,0.141855,0.94603,0.94687,0.988884,0.962173,0.929897,0.932045,0.960937,0.892526,0.89206,17.62
1,32,2.871e-05,0.159551,0.934766,0.146645,0.944655,0.945882,0.989169,0.967675,0.921649,0.925049,0.966138,0.890256,0.889311,17.57
1,33,2.591e-05,0.147859,0.941126,0.132708,0.95153,0.952155,0.990005,0.964924,0.938144,0.939719,0.963983,0.903385,0.90306,17.66
1,34,2.321e-05,0.149825,0.942931,0.140955,0.945342,0.946338,0.989764,0.964237,0.92646,0.929092,0.962857,0.891323,0.890685,17.7
1,35,2.061e-05,0.150632,0.939149,0.129791,0.949811,0.950272,0.989931,0.959422,0.940206,0.941296,0.958655,0.899789,0.899623,17.59
1,36,1.813e-05,0.147301,0.942587,0.146853,0.941561,0.942761,0.988881,0.962861,0.920275,0.923483,0.961235,0.883926,0.883123,17.55
1,37,1.577e-05,0.147797,0.94061,0.130788,0.950498,0.951087,0.990113,0.962861,0.938144,0.939597,0.961945,0.901274,0.900998,17.85
1,38,1.355e-05,0.143533,0.945595,0.128412,0.950155,0.950359,0.98977,0.954608,0.945704,0.946149,0.95423,0.900346,0.90031,17.44
1,39,1.147e-05,0.145594,0.94104,0.134929,0.94878,0.949406,0.989737,0.961486,0.936082,0.937626,0.960508,0.897851,0.89756,17.5
1,40,9.55e-06,0.150674,0.939149,0.136086,0.949467,0.950287,0.989472,0.9663,0.932646,0.934797,0.965149,0.899446,0.898936,17.44
1,41,7.78e-06,0.144032,0.941556,0.126698,0.952217,0.952479,0.990106,0.958047,0.946392,0.946975,0.95758,0.904497,0.904435,17.46
1,42,6.18e-06,0.146149,0.943618,0.124397,0.952905,0.953226,0.990522,0.96011,0.945704,0.946441,0.959554,0.905904,0.90581,17.63
1,43,4.76e-06,0.135105,0.948689,0.12449,0.95428,0.954436,0.990284,0.958047,0.950515,0.950853,0.957756,0.908586,0.90856,17.66
1,44,3.51e-06,0.14268,0.944736,0.132949,0.949123,0.949898,0.990292,0.964924,0.933333,0.935333,0.963804,0.898697,0.898248,17.74
1,45,2.45e-06,0.138189,0.943962,0.125651,0.955655,0.955897,0.990307,0.961486,0.949828,0.950374,0.961057,0.911372,0.91131,17.71
1,46,1.57e-06,0.137231,0.947142,0.129091,0.95153,0.952122,0.990513,0.964237,0.938832,0.940309,0.963329,0.903353,0.90306,17.83
1,47,8.9e-07,0.14304,0.942243,0.124841,0.952905,0.952969,0.990152,0.954608,0.951203,0.951337,0.954483,0.905815,0.90581,17.75
1,48,3.9e-07,0.145586,0.941556,0.124937,0.952905,0.95313,0.990469,0.958047,0.947766,0.948264,0.957639,0.905858,0.90581,17.54
1,49,1e-07,0.141839,0.943704,0.130604,0.950155,0.950931,0.990551,0.9663,0.934021,0.936043,0.965199,0.900781,0.90031,17.67
1,50,0.0,0.140443,0.945165,0.132246,0.949123,0.949864,0.990146,0.964237,0.934021,0.935915,0.963147,0.898659,0.898248,17.48
2,1,9.99e-05,0.490706,0.762613,0.374585,0.838089,0.838864,0.910931,0.843191,0.83299,0.834581,0.841667,0.676214,0.676178,17.72
2,2,9.961e-05,0.40808,0.815986,0.340056,0.849433,0.852227,0.933843,0.868638,0.830241,0.836424,0.863474,0.699388,0.69887,17.67
2,3,9.911e-05,0.368739,0.839106,0.315298,0.865246,0.867119,0.942037,0.879642,0.850859,0.854947,0.87615,0.730799,0.730494,17.67
2,4,9.843e-05,0.348024,0.84624,0.279462,0.885184,0.883786,0.951471,0.873453,0.896907,0.894366,0.876427,0.770577,0.770366,17.78
2,5,9.755e-05,0.329834,0.857843,0.271917,0.891715,0.892601,0.957683,0.900275,0.883162,0.885057,0.898601,0.783548,0.783432,17.75
2,6,9.649e-05,0.313095,0.866953,0.268133,0.889309,0.891874,0.959259,0.913343,0.865292,0.871391,0.909025,0.779525,0.778622,17.95
2,7,9.524e-05,0.296468,0.873313,0.246737,0.902716,0.902849,0.961859,0.904402,0.901031,0.901302,0.904138,0.805436,0.805432,17.75
2,8,9.382e-05,0.283535,0.879416,0.230792,0.911653,0.910795,0.965098,0.902338,0.920962,0.919411,0.904184,0.823448,0.823306,17.73
2,9,9.222e-05,0.276757,0.885002,0.232724,0.910622,0.911504,0.967639,0.920908,0.900344,0.902291,0.919298,0.82142,0.821246,17.82
2,10,9.045e-05,0.261409,0.891792,0.230894,0.907528,0.909275,0.969678,0.927098,0.887973,0.892124,0.924177,0.815686,0.815059,17.73
2,11,8.853e-05,0.246701,0.899355,0.225536,0.910278,0.912738,0.972469,0.93879,0.881787,0.888094,0.935131,0.8219,0.82056,17.87
2,12,8.645e-05,0.247055,0.899871,0.210856,0.915091,0.916526,0.973525,0.9326,0.897595,0.900997,0.930199,0.830695,0.830184,17.61
2,13,8.423e-05,0.233196,0.906489,0.19544,0.92506,0.924463,0.974821,0.917469,0.932646,0.931564,0.918754,0.850217,0.85012,17.95
2,14,8.187e-05,0.229589,0.903653,0.192429,0.927466,0.928158,0.977398,0.937414,0.917526,0.919083,0.936185,0.855104,0.854934,17.78
2,15,7.939e-05,0.221807,0.90795,0.204207,0.919216,0.920955,0.976867,0.941541,0.896907,0.901251,0.938849,0.839273,0.838435,18.01
2,16,7.679e-05,0.217892,0.910529,0.190929,0.930904,0.932026,0.978855,0.94773,0.914089,0.916833,0.945946,0.862299,0.86181,17.87
2,17,7.409e-05,0.21324,0.912419,0.180826,0.932279,0.933198,0.981348,0.946355,0.918213,0.920401,0.944837,0.864903,0.86456,17.94
2,18,7.129e-05,0.20154,0.916287,0.181078,0.930904,0.932528,0.98306,0.955296,0.906529,0.91082,0.953035,0.862839,0.86181,17.94
2,19,6.841e-05,0.202602,0.917232,0.17336,0.933998,0.934871,0.982773,0.94773,0.920275,0.922356,0.94629,0.868326,0.867997,17.76
2,20,6.545e-05,0.192454,0.920155,0.173986,0.929529,0.930813,0.983112,0.948418,0.910653,0.91385,0.946429,0.859675,0.85906,17.79
2,21,6.243e-05,0.194503,0.924022,0.166222,0.934685,0.935593,0.984038,0.949106,0.920275,0.92246,0.947629,0.869735,0.869372,17.71
