fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.443186,0.795875,0.331919,0.853214,0.857143,0.936385,0.881018,0.82543,0.834528,0.87409,0.707532,0.706434,88.0
1,2,9.961e-05,0.354324,0.845552,0.286631,0.875559,0.864012,0.95712,0.790922,0.960137,0.951987,0.821282,0.762083,0.751103,77.32
1,3,9.911e-05,0.29941,0.871508,0.226721,0.909935,0.908456,0.969134,0.894085,0.925773,0.923295,0.897402,0.820278,0.819867,76.71
1,4,9.843e-05,0.271917,0.885948,0.199408,0.91956,0.915767,0.977079,0.874828,0.964261,0.960725,0.885174,0.842487,0.839115,76.77
1,5,9.755e-05,0.240184,0.900645,0.183725,0.930217,0.928647,0.979323,0.908528,0.95189,0.949676,0.912385,0.861239,0.860431,76.67
1,6,9.649e-05,0.216768,0.913451,0.162648,0.936404,0.935964,0.983895,0.929849,0.942955,0.94216,0.930801,0.872882,0.872808,76.97
1,7,9.524e-05,0.205688,0.917834,0.177803,0.934342,0.935408,0.983734,0.951169,0.917526,0.92016,0.949502,0.869178,0.868685,76.82
1,8,9.382e-05,0.188648,0.922217,0.134297,0.949811,0.94927,0.988882,0.939477,0.960137,0.95927,0.940741,0.899813,0.899621,76.84
1,9,9.222e-05,0.175266,0.929953,0.128824,0.958405,0.958576,0.991029,0.962861,0.953952,0.954329,0.962552,0.916847,0.91681,77.0
1,10,9.045e-05,0.161777,0.936399,0.115926,0.953936,0.95331,0.992009,0.940853,0.96701,0.966102,0.942398,0.908181,0.907871,76.55
1,11,8.853e-05,0.155317,0.939063,0.125705,0.953592,0.954128,0.991627,0.965612,0.941581,0.942915,0.964789,0.907448,0.907185,76.69
1,12,8.645e-05,0.146446,0.941985,0.094761,0.968374,0.968078,0.994744,0.959422,0.97732,0.976891,0.960162,0.936897,0.936748,77.16
1,13,8.423e-05,0.129527,0.947572,0.157643,0.943279,0.944871,0.989429,0.97249,0.914089,0.918778,0.970803,0.888079,0.886561,76.87
1,14,8.187e-05,0.133905,0.947572,0.096692,0.965968,0.965897,0.99438,0.964237,0.967698,0.967564,0.964384,0.931941,0.931935,76.77
1,15,7.939e-05,0.12216,0.953159,0.103727,0.964249,0.964529,0.993778,0.97249,0.956014,0.956698,0.972048,0.928625,0.928498,77.61
1,16,7.679e-05,0.119318,0.953416,0.096666,0.962874,0.96319,0.994157,0.971802,0.953952,0.95473,0.971309,0.925896,0.925748,76.63
1,17,7.409e-05,0.099793,0.96141,0.08498,0.970093,0.970418,0.995859,0.981431,0.958763,0.95965,0.981013,0.940428,0.940186,77.28
1,18,7.129e-05,0.099502,0.961753,0.076426,0.969405,0.969943,0.997005,0.98762,0.951203,0.952887,0.987161,0.939435,0.938811,76.94
1,19,6.841e-05,0.095229,0.964676,0.100745,0.956686,0.958,0.996755,0.988308,0.925086,0.929495,0.987528,0.915207,0.913374,79.92
