fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.465383,0.783756,0.360617,0.836714,0.827336,0.911936,0.782669,0.890722,0.877409,0.80397,0.677373,0.673415,81.56
1,2,9.961e-05,0.363702,0.841341,0.306515,0.867652,0.869976,0.943574,0.885832,0.849485,0.854678,0.881598,0.735796,0.735308,81.19
1,3,9.911e-05,0.311498,0.866781,0.287391,0.874527,0.876731,0.953152,0.89271,0.856357,0.861314,0.88873,0.749556,0.749058,81.09
1,4,9.843e-05,0.269334,0.889987,0.209045,0.915091,0.911943,0.973451,0.879642,0.950515,0.946706,0.887677,0.832268,0.830178,81.08
1,5,9.755e-05,0.24083,0.901246,0.231265,0.898247,0.888722,0.976441,0.81293,0.983505,0.9801,0.840282,0.80832,0.796482,80.92
1,6,9.649e-05,0.227183,0.907434,0.216803,0.909935,0.913302,0.97834,0.949106,0.87079,0.880102,0.944817,0.822404,0.819874,80.89
1,7,9.524e-05,0.207853,0.91431,0.15909,0.931935,0.929336,0.986305,0.895461,0.968385,0.965875,0.902627,0.866171,0.863867,80.89
1,8,9.382e-05,0.186177,0.927546,0.196098,0.921623,0.925148,0.985664,0.969051,0.874227,0.88505,0.965831,0.847071,0.84325,80.94
1,9,9.222e-05,0.176379,0.931156,0.138432,0.948092,0.948021,0.98821,0.947043,0.949141,0.949001,0.947188,0.896186,0.896184,80.95
1,10,9.045e-05,0.17383,0.933047,0.124293,0.954967,0.954656,0.990151,0.948418,0.961512,0.960976,0.949118,0.910012,0.909934,80.91
1,11,8.853e-05,0.147893,0.942931,0.186719,0.922998,0.918129,0.987141,0.863824,0.982131,0.979719,0.878304,0.851967,0.845989,80.94
1,12,8.645e-05,0.144055,0.943962,0.126123,0.95153,0.950194,0.991298,0.925034,0.978007,0.976761,0.928851,0.904326,0.903058,80.93
1,13,8.423e-05,0.137124,0.946111,0.115645,0.955311,0.954892,0.99164,0.946355,0.964261,0.963585,0.947333,0.910767,0.910622,81.02
1,14,8.187e-05,0.124784,0.952901,0.116329,0.95428,0.953899,0.99187,0.946355,0.962199,0.961565,0.947226,0.908673,0.908559,80.96
1,15,7.939e-05,0.114332,0.956682,0.101198,0.96253,0.96253,0.993528,0.962861,0.962199,0.962199,0.962861,0.92506,0.92506,81.0
1,16,7.679e-05,0.111951,0.958917,0.164146,0.939498,0.941914,0.991433,0.981431,0.897595,0.905457,0.979745,0.882108,0.879,81.13
1,17,7.409e-05,0.103194,0.961581,0.109595,0.960468,0.961162,0.994018,0.97868,0.942268,0.94426,0.977889,0.921548,0.920936,81.16
1,18,7.129e-05,0.095699,0.964676,0.093401,0.968374,0.968341,0.99423,0.967675,0.969072,0.969008,0.967742,0.936749,0.936748,80.99
1,19,6.841e-05,0.088767,0.967426,0.129205,0.95428,0.955887,0.995101,0.991059,0.917526,0.923126,0.990356,0.91103,0.908562,80.97
1,20,6.545e-05,0.092089,0.965535,0.106658,0.96253,0.963411,0.995347,0.986933,0.938144,0.940984,0.986272,0.926165,0.925061,80.91
1,21,6.243e-05,0.08401,0.968457,0.075889,0.973874,0.973811,0.995905,0.971802,0.975945,0.975829,0.971937,0.947756,0.947748,80.94
1,22,5.937e-05,0.078746,0.971036,0.073574,0.973187,0.973505,0.996712,0.985557,0.960825,0.961745,0.985201,0.946664,0.946374,80.86
1,23,5.627e-05,0.074093,0.972067,0.102028,0.962186,0.963161,0.996098,0.988996,0.935395,0.938642,0.988381,0.925706,0.924374,80.88
1,24,5.314e-05,0.06922,0.974044,0.083042,0.971812,0.972241,0.99667,0.98762,0.956014,0.957333,0.987225,0.944096,0.943624,80.89
1,25,5e-05,0.059762,0.978427,0.074125,0.974218,0.974324,0.996272,0.97868,0.969759,0.970007,0.978502,0.948474,0.948436,80.97
1,26,4.686e-05,0.060259,0.977911,0.060966,0.978343,0.978491,0.997877,0.985557,0.971134,0.971525,0.985356,0.956786,0.956686,80.87
1,27,4.373e-05,0.057884,0.978255,0.098297,0.967686,0.968329,0.996748,0.988308,0.947079,0.949141,0.987814,0.936171,0.935374,80.96
1,28,4.063e-05,0.054176,0.98092,0.086788,0.969749,0.97041,0.997564,0.992435,0.947079,0.949342,0.992081,0.940468,0.939499,81.07
1,29,3.757e-05,0.055384,0.98049,0.065882,0.976281,0.976523,0.997975,0.986933,0.965636,0.96633,0.986657,0.952778,0.952561,81.02
1,30,3.455e-05,0.046254,0.983326,0.073173,0.974562,0.974847,0.997376,0.986245,0.962887,0.96371,0.985925,0.949383,0.949124,81.29
1,31,3.159e-05,0.041579,0.985819,0.069388,0.978343,0.978608,0.997704,0.991059,0.965636,0.966465,0.990832,0.956996,0.956687,81.43
1,32,2.871e-05,0.044614,0.9841,0.079561,0.975937,0.976255,0.997382,0.989684,0.962199,0.963186,0.989399,0.952234,0.951874,81.48
1,33,2.591e-05,0.040242,0.985475,0.097541,0.967343,0.968153,0.997308,0.993122,0.941581,0.944408,0.992754,0.935932,0.934687,81.7
1,34,2.321e-05,0.036561,0.987538,0.059152,0.980749,0.980952,0.998394,0.991747,0.969759,0.97039,0.991567,0.961732,0.961499,82.02
1,35,2.061e-05,0.033953,0.987967,0.060345,0.982812,0.982982,0.998069,0.993122,0.972509,0.973046,0.992982,0.96583,0.965624,81.87
1,36,1.813e-05,0.038021,0.987194,0.085128,0.975937,0.976335,0.997608,0.993122,0.958763,0.960106,0.992883,0.952437,0.951874,82.06
1,37,1.577e-05,0.037214,0.986506,0.054997,0.983843,0.983921,0.998158,0.988996,0.978694,0.978897,0.988889,0.967738,0.967687,81.9
1,38,1.355e-05,0.031072,0.989171,0.055049,0.984875,0.984921,0.998037,0.988308,0.981443,0.981557,0.988235,0.969772,0.969749,81.81
1,39,1.147e-05,0.031833,0.988225,0.082223,0.975249,0.975692,0.997886,0.99381,0.956701,0.958223,0.993576,0.951155,0.950499,81.75
1,40,9.55e-06,0.030496,0.989772,0.064423,0.980062,0.980272,0.998158,0.991059,0.969072,0.969717,0.990864,0.960356,0.960124,81.64
1,41,7.78e-06,0.0257,0.990976,0.07567,0.978343,0.978622,0.998066,0.991747,0.964948,0.965841,0.991525,0.957031,0.956687,81.81
1,42,6.18e-06,0.026535,0.990632,0.064545,0.980406,0.980645,0.99834,0.993122,0.967698,0.968478,0.992948,0.961123,0.960812,81.75
1,43,4.76e-06,0.025634,0.992007,0.068027,0.980749,0.980978,0.998307,0.993122,0.968385,0.969128,0.992953,0.961794,0.961499,81.68
1,44,3.51e-06,0.02336,0.992093,0.077878,0.978343,0.978651,0.997976,0.993122,0.963574,0.964596,0.992918,0.957105,0.956687,81.54
2,1,9.99e-05,0.461576,0.78728,0.358192,0.84187,0.829503,0.915544,0.769601,0.914089,0.899518,0.798799,0.690965,0.683724,81.46
2,2,9.961e-05,0.357302,0.842716,0.28019,0.885184,0.879856,0.950445,0.841128,0.92921,0.922323,0.854075,0.773361,0.770361,81.56
2,3,9.911e-05,0.304782,0.871938,0.322706,0.857339,0.87011,0.965601,0.955983,0.758763,0.798392,0.945205,0.729029,0.714698,81.54
2,4,9.843e-05,0.259226,0.88844,0.246175,0.891715,0.89776,0.974146,0.951169,0.832302,0.850031,0.944618,0.78904,0.78344,81.64
2,5,9.755e-05,0.235928,0.90245,0.197778,0.92231,0.918588,0.976727,0.876891,0.967698,0.964448,0.887209,0.848115,0.844615,81.66
2,6,9.649e-05,0.211605,0.911216,0.180485,0.928498,0.925287,0.98134,0.885832,0.971134,0.968421,0.89487,0.860123,0.856991,81.76
2,7,9.524e-05,0.198328,0.92067,0.164508,0.935029,0.935252,0.983911,0.93879,0.931271,0.931741,0.938366,0.870084,0.870059,81.75
2,8,9.382e-05,0.184478,0.925569,0.188736,0.924716,0.920623,0.983355,0.873453,0.975945,0.97318,0.885287,0.85392,0.849427,81.86
2,9,9.222e-05,0.173228,0.930812,0.141314,0.942248,0.942623,0.98875,0.949106,0.935395,0.936228,0.948432,0.884581,0.884497,81.93
2,10,9.045e-05,0.155845,0.939837,0.207027,0.919216,0.923178,0.986303,0.971114,0.867354,0.879751,0.967791,0.842993,0.838438,81.83
2,11,8.853e-05,0.144867,0.946369,0.20073,0.920248,0.92487,0.987954,0.982118,0.858419,0.873929,0.979608,0.847012,0.840502,81.74
2,12,8.645e-05,0.134265,0.94826,0.162364,0.938123,0.940633,0.990835,0.980743,0.895533,0.903676,0.978963,0.879451,0.87625,81.74
2,13,8.423e-05,0.132305,0.950064,0.16431,0.936748,0.938789,0.988155,0.970426,0.903093,0.909149,0.968312,0.875488,0.873499,81.65
2,14,8.187e-05,0.12442,0.949635,0.143495,0.943279,0.944982,0.991151,0.974553,0.912027,0.917152,0.972874,0.888302,0.886561,81.85
