fold,epoch,lr_head,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
1,1,9.99e-05,0.51015,0.755479,0.427485,0.801994,0.809019,0.895496,0.839065,0.764948,0.78105,0.826281,0.60567,0.603998,48.69
1,2,9.961e-05,0.418514,0.812033,0.386436,0.827432,0.829484,0.913348,0.839752,0.81512,0.819463,0.8358,0.655068,0.654867,48.13
1,3,9.911e-05,0.378847,0.831285,0.369351,0.833964,0.841275,0.928992,0.88033,0.787629,0.805538,0.868182,0.670833,0.667938,47.98
1,4,9.843e-05,0.348651,0.847959,0.314193,0.860777,0.864684,0.944005,0.889959,0.831615,0.840806,0.883212,0.722795,0.721559,47.86
1,5,9.755e-05,0.321059,0.857757,0.293556,0.875215,0.880158,0.954391,0.916781,0.833677,0.846349,0.909295,0.753047,0.750437,47.87
1,6,9.649e-05,0.297521,0.871079,0.250014,0.89309,0.892201,0.96133,0.885144,0.901031,0.899371,0.887009,0.786278,0.78618,47.81
1,7,9.524e-05,0.281638,0.885432,0.243353,0.901341,0.903008,0.965757,0.918845,0.883849,0.887708,0.915954,0.803178,0.802684,47.82
1,8,9.382e-05,0.261662,0.893081,0.23701,0.902028,0.902431,0.966108,0.906465,0.897595,0.898432,0.905687,0.804089,0.804057,47.77
1,9,9.222e-05,0.25013,0.896949,0.246265,0.895497,0.900393,0.971995,0.944979,0.846048,0.859825,0.938978,0.794906,0.791001,47.74
1,10,9.045e-05,0.23498,0.903739,0.223605,0.910278,0.912387,0.973432,0.934663,0.885911,0.891148,0.931358,0.821539,0.82056,47.77
1,11,8.853e-05,0.223131,0.908208,0.218046,0.904435,0.907703,0.975331,0.940165,0.868729,0.877407,0.935603,0.810949,0.808874,47.88
1,12,8.645e-05,0.211641,0.91431,0.185737,0.929185,0.930264,0.980227,0.944979,0.913402,0.916,0.943222,0.858802,0.858372,47.89
1,13,8.423e-05,0.195012,0.924194,0.176686,0.928498,0.929107,0.982576,0.937414,0.919588,0.920946,0.936319,0.857133,0.856996,47.87
1,14,8.187e-05,0.183384,0.928749,0.178476,0.928842,0.929711,0.982169,0.941541,0.916151,0.918176,0.940056,0.857962,0.857684,47.87
1,15,7.939e-05,0.177934,0.928062,0.159772,0.936748,0.937029,0.985362,0.941541,0.931959,0.932561,0.941013,0.873537,0.873496,47.78
1,16,7.679e-05,0.170672,0.933047,0.157285,0.938467,0.939507,0.986234,0.955983,0.920962,0.923588,0.954416,0.877475,0.876935,47.82
1,17,7.409e-05,0.156118,0.93786,0.150532,0.937779,0.93833,0.986998,0.947043,0.928522,0.929777,0.946078,0.87571,0.875559,47.81
1,18,7.129e-05,0.151204,0.941384,0.148282,0.943279,0.944426,0.987996,0.964237,0.922337,0.925413,0.962697,0.887341,0.886561,47.87
1,19,6.841e-05,0.154303,0.938204,0.154349,0.945342,0.946156,0.987142,0.960798,0.929897,0.931955,0.959574,0.891112,0.890685,47.79
1,20,6.545e-05,0.14671,0.94104,0.139942,0.947405,0.948188,0.988627,0.962861,0.931959,0.933956,0.961702,0.895239,0.89481,47.81
1,21,6.243e-05,0.137852,0.948947,0.152205,0.945686,0.946801,0.987577,0.966988,0.924399,0.927441,0.965542,0.892184,0.891373,47.86
1,22,5.937e-05,0.129605,0.950752,0.144739,0.946373,0.948035,0.990606,0.97868,0.914089,0.919251,0.977223,0.894619,0.892749,47.8
